target_col,feature_label,split_type,model_name,task_type,n_test_pooled,n_folds,test_spearman,test_pearson,test_r2,test_mae,test_rmse
foldchange_NBD_activity_25C,esmc_seq_embeddings,custom,ridge,regression,52,1,0.3665,0.0674,-0.8475,2.9234,3.9088
foldchange_NBD_activity_25C,esmc_seq_embeddings,custom,xgboost,regression,52,1,0.2786,0.2718,-2.3649,4.5171,5.2752
foldchange_NBD_activity_25C,esm2_seq_embeddings_LLR,custom,rf,regression,52,1,0.4466,0.484,-2.2978,4.4608,5.2223
foldchange_NBD_activity_25C,esm2_seq_embeddings_LLR,custom,ridge,regression,52,1,0.3427,0.4308,-1.8513,4.0552,4.8559
foldchange_NBD_activity_25C,esm2_seq_embeddings_LLR,custom,xgboost,regression,52,1,0.2132,0.2749,-2.4888,4.5954,5.3714
foldchange_NBD_activity_25C,esmc_seq_embeddings_LLR,custom,rf,regression,52,1,0.5158,0.5303,-2.3918,4.5583,5.2962
foldchange_NBD_activity_25C,esmc_seq_embeddings_LLR,custom,ridge,regression,52,1,0.3699,0.0644,-0.8676,2.9343,3.9299
foldchange_NBD_activity_25C,esmc_seq_embeddings_LLR,custom,xgboost,regression,52,1,0.3383,0.3052,-2.3316,4.4942,5.2489
foldchange_ABTS_activity_25C,onehot,random,rf,regression,282,5,0.7151,0.5849,0.3348,0.4573,0.8849
foldchange_ABTS_activity_25C,onehot,random,ridge,regression,282,5,0.6793,0.6275,0.3707,0.4864,0.8607
foldchange_ABTS_activity_25C,onehot,random,xgboost,regression,282,5,0.6906,0.5075,0.2117,0.4796,0.9633
foldchange_ABTS_activity_25C,georgiev,random,rf,regression,282,5,0.6854,0.573,0.3207,0.4664,0.8942
foldchange_ABTS_activity_25C,georgiev,random,ridge,regression,282,5,0.671,0.6171,0.3292,0.5131,0.8886
foldchange_ABTS_activity_25C,georgiev,random,xgboost,regression,282,5,0.7296,0.5263,0.2314,0.4697,0.9512
foldchange_ABTS_activity_25C,onehot_esm2_LLR,random,rf,regression,282,5,0.7269,0.6585,0.4307,0.4389,0.8186
foldchange_ABTS_activity_25C,onehot_esm2_LLR,random,ridge,regression,282,5,0.6963,0.6397,0.3843,0.483,0.8513
foldchange_ABTS_activity_25C,onehot_esm2_LLR,random,xgboost,regression,282,5,0.7093,0.6298,0.394,0.4437,0.8446
foldchange_ABTS_activity_25C,onehot_esmc_LLR,random,rf,regression,282,5,0.7485,0.6398,0.4073,0.4376,0.8353
foldchange_ABTS_activity_25C,onehot_esmc_LLR,random,ridge,regression,282,5,0.7044,0.64,0.3848,0.483,0.851
foldchange_ABTS_activity_25C,onehot_esmc_LLR,random,xgboost,regression,282,5,0.7354,0.5908,0.3004,0.4666,0.9075
foldchange_ABTS_activity_25C,georgiev_esm2_LLR,random,rf,regression,282,5,0.722,0.6593,0.4314,0.4389,0.8181
foldchange_ABTS_activity_25C,georgiev_esm2_LLR,random,ridge,regression,282,5,0.6892,0.6233,0.3382,0.5095,0.8826
foldchange_ABTS_activity_25C,georgiev_esm2_LLR,random,xgboost,regression,282,5,0.7016,0.631,0.3968,0.4544,0.8426
foldchange_ABTS_activity_25C,georgiev_esmc_LLR,random,rf,regression,282,5,0.7358,0.6331,0.4002,0.4423,0.8403
foldchange_ABTS_activity_25C,georgiev_esmc_LLR,random,ridge,regression,282,5,0.6916,0.6237,0.3388,0.5089,0.8822
foldchange_ABTS_activity_25C,georgiev_esmc_LLR,random,xgboost,regression,282,5,0.7292,0.5932,0.306,0.4765,0.9039
foldchange_ABTS_activity_25C,esm2_seq_embeddings,random,rf,regression,282,5,0.627,0.5504,0.2939,0.5181,0.9117
foldchange_ABTS_activity_25C,esm2_seq_embeddings,random,ridge,regression,282,5,0.4657,0.4781,0.0903,0.6146,1.0348
foldchange_ABTS_activity_25C,esm2_seq_embeddings,random,xgboost,regression,282,5,0.6478,0.5054,0.195,0.5298,0.9735
foldchange_ABTS_activity_25C,esmc_seq_embeddings,random,rf,regression,282,5,0.6259,0.5489,0.2898,0.5089,0.9143
foldchange_ABTS_activity_25C,esmc_seq_embeddings,random,ridge,regression,282,5,0.4386,0.2822,-2.6065,1.1306,2.0604
foldchange_ABTS_activity_25C,esmc_seq_embeddings,random,xgboost,regression,282,5,0.6127,0.4805,0.0753,0.5289,1.0433
foldchange_ABTS_activity_25C,esm2_seq_embeddings_LLR,random,rf,regression,282,5,0.6289,0.5557,0.3015,0.514,0.9068
foldchange_ABTS_activity_25C,esm2_seq_embeddings_LLR,random,ridge,regression,282,5,0.4994,0.497,0.2466,0.5719,0.9417
foldchange_ABTS_activity_25C,esm2_seq_embeddings_LLR,random,xgboost,regression,282,5,0.6526,0.5188,0.2255,0.5239,0.9548
foldchange_ABTS_activity_25C,esmc_seq_embeddings_LLR,random,rf,regression,282,5,0.6342,0.5506,0.2909,0.507,0.9136
foldchange_ABTS_activity_25C,esmc_seq_embeddings_LLR,random,ridge,regression,282,5,0.4457,0.2852,-2.6099,1.1306,2.0614
foldchange_ABTS_activity_25C,esmc_seq_embeddings_LLR,random,xgboost,regression,282,5,0.6204,0.5014,0.1195,0.5211,1.0181
foldchange_ABTS_activity_25C,onehot,custom,rf,regression,52,1,0.4573,0.4537,0.1928,0.6133,0.8258
foldchange_ABTS_activity_25C,onehot,custom,ridge,regression,52,1,0.4971,0.4622,0.0579,0.7319,0.8921
foldchange_ABTS_activity_25C,onehot,custom,xgboost,regression,52,1,0.5238,0.4769,0.1415,0.6998,0.8517
foldchange_ABTS_activity_25C,georgiev,custom,rf,regression,52,1,0.4742,0.4648,0.2072,0.6095,0.8184
foldchange_ABTS_activity_25C,georgiev,custom,ridge,regression,52,1,0.3932,0.3594,-0.4691,0.869,1.1141
foldchange_ABTS_activity_25C,georgiev,custom,xgboost,regression,52,1,0.5162,0.4575,0.143,0.6906,0.8509
foldchange_ABTS_activity_25C,onehot_esm2_LLR,custom,rf,regression,52,1,0.4089,0.4386,-12.2464,3.0781,3.3453
foldchange_ABTS_activity_25C,onehot_esm2_LLR,custom,ridge,regression,52,1,0.5106,0.5004,0.0016,0.7436,0.9184
foldchange_ABTS_activity_25C,onehot_esm2_LLR,custom,xgboost,regression,52,1,0.2573,0.3162,-9.021,2.5468,2.9097
foldchange_ABTS_activity_25C,onehot_esmc_LLR,custom,rf,regression,52,1,0.7518,0.6859,0.2173,0.6648,0.8132
foldchange_ABTS_activity_25C,onehot_esmc_LLR,custom,ridge,regression,52,1,0.5221,0.4863,0.0271,0.73,0.9066
foldchange_ABTS_activity_25C,onehot_esmc_LLR,custom,xgboost,regression,52,1,0.701,0.6388,0.2739,0.613,0.7832
foldchange_ABTS_activity_25C,georgiev_esm2_LLR,custom,rf,regression,52,1,0.4072,0.4122,-11.0087,2.9164,3.1852
foldchange_ABTS_activity_25C,georgiev_esm2_LLR,custom,ridge,regression,52,1,0.4026,0.3786,-0.4755,0.8784,1.1165
foldchange_ABTS_activity_25C,georgiev_esm2_LLR,custom,xgboost,regression,52,1,0.2514,0.3044,-8.2408,2.4165,2.7941
foldchange_ABTS_activity_25C,georgiev_esmc_LLR,custom,rf,regression,52,1,0.7664,0.7179,0.1789,0.6862,0.8329
foldchange_ABTS_activity_25C,georgiev_esmc_LLR,custom,ridge,regression,52,1,0.3987,0.3658,-0.4956,0.8818,1.1241
foldchange_ABTS_activity_25C,georgiev_esmc_LLR,custom,xgboost,regression,52,1,0.6909,0.6148,0.2468,0.6218,0.7977
foldchange_ABTS_activity_25C,esm2_seq_embeddings,custom,rf,regression,52,1,0.5605,0.5471,0.2696,0.6239,0.7856
foldchange_ABTS_activity_25C,esm2_seq_embeddings,custom,ridge,regression,52,1,0.5802,0.5572,0.0094,0.6392,0.9148
foldchange_ABTS_activity_25C,esm2_seq_embeddings,custom,xgboost,regression,52,1,0.4828,0.3736,-0.3978,0.7797,1.0867
foldchange_ABTS_activity_25C,esmc_seq_embeddings,custom,rf,regression,52,1,0.6136,0.5977,-0.1832,0.7326,0.9998
foldchange_ABTS_activity_25C,esmc_seq_embeddings,custom,ridge,regression,52,1,0.3955,0.3343,-4.7034,1.5283,2.1951
